SRR1930034	SRR1930035	SRR1930036	SRR1930037	SRR1930038	SRR1930039
ENSMUSG00000102693	0	1	0	1	0	0
ENSMUSG00000064842	0	0	0	0	0	0
ENSMUSG00000051951	1795	2179	1935	2163	2227	2397
ENSMUSG00000102851	4	9	5	4	6	10
ENSMUSG00000103377	137	262	185	157	211	300
ENSMUSG00000104017	155	241	177	151	190	270
ENSMUSG00000103025	21	23	25	34	31	35
ENSMUSG00000089699	0	0	0	0	0	0
ENSMUSG00000103201	32	26	34	34	41	59
ENSMUSG00000103147	21	15	17	15	19	28
ENSMUSG00000103161	47	37	43	62	43	106
ENSMUSG00000102331	97	80	83	89	89	155
ENSMUSG00000102348	0	6	4	10	4	8
ENSMUSG00000102592	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0
ENSMUSG00000102343	0	1	0	0	0	0
ENSMUSG00000025900	1	3	3	2	1	3
ENSMUSG00000102948	0	0	0	0	0	0
ENSMUSG00000109048	0	0	0	0	0	0
ENSMUSG00000104123	0	0	0	0	0	0
ENSMUSG00000025902	62	78	70	78	79	66
ENSMUSG00000104238	1	0	1	1	1	2
ENSMUSG00000102269	0	3	0	1	1	1
ENSMUSG00000096126	0	0	0	0	0	0
ENSMUSG00000103003	0	0	0	0	0	0
ENSMUSG00000104328	0	1	1	0	0	2
ENSMUSG00000102735	0	1	0	0	1	1
ENSMUSG00000098104	33	49	38	45	36	31
ENSMUSG00000102175	5	13	7	12	12	10
ENSMUSG00000088000	0	0	1	0	0	0
ENSMUSG00000103265	1	2	0	0	0	1
ENSMUSG00000103922	6	19	12	16	10	14
ENSMUSG00000033845	493	455	504	570	481	495
ENSMUSG00000102275	21	14	15	20	14	20
ENSMUSG00000025903	217	224	242	316	229	242
ENSMUSG00000104217	0	0	0	0	0	0
ENSMUSG00000033813	1064	1230	1046	1551	1234	1179
ENSMUSG00000062588	3	12	9	24	8	5
ENSMUSG00000103280	22	28	23	28	17	27
ENSMUSG00000002459	170	172	153	241	164	179
ENSMUSG00000091305	2	0	3	3	0	1
ENSMUSG00000102653	6	12	4	11	13	17
ENSMUSG00000085623	15	18	20	20	16	29
ENSMUSG00000091665	0	1	0	0	1	0
ENSMUSG00000033793	1999	1989	2142	2712	1996	2270
ENSMUSG00000104352	0	0	0	0	0	0
ENSMUSG00000104046	0	0	0	0	0	0
ENSMUSG00000102907	0	0	0	0	0	0
ENSMUSG00000025905	44	39	34	64	63	50
ENSMUSG00000103936	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	1	0	0
ENSMUSG00000033774	5	7	4	15	19	9
ENSMUSG00000103090	0	0	0	0	0	0
ENSMUSG00000025907	3997	4473	4490	5224	4545	4618
ENSMUSG00000090031	212	217	215	227	190	251
ENSMUSG00000087247	0	0	0	0	0	1
ENSMUSG00000103355	0	0	0	0	0	1
ENSMUSG00000102706	0	0	0	0	0	0
ENSMUSG00000103845	121	110	119	144	139	116
ENSMUSG00000033740	133	161	180	150	129	139
ENSMUSG00000103329	4	12	4	5	15	4
ENSMUSG00000104385	0	1	0	1	1	0
ENSMUSG00000102135	3	2	1	0	1	0
ENSMUSG00000103282	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0
ENSMUSG00000051285	2536	2779	2986	3080	2500	2659
ENSMUSG00000098201	5	6	5	4	6	11
ENSMUSG00000103509	229	246	240	242	245	282
ENSMUSG00000048538	17	17	13	7	3	9
ENSMUSG00000103709	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0
ENSMUSG00000102768	1	0	0	0	0	2
ENSMUSG00000097797	16	18	18	21	11	16
ENSMUSG00000103498	0	0	0	0	0	0
ENSMUSG00000103067	1	0	0	0	0	0
ENSMUSG00000102320	0	0	0	0	0	0
ENSMUSG00000104226	0	0	1	3	1	3
ENSMUSG00000103903	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0
ENSMUSG00000025909	1295	1364	1392	1572	1298	1424
ENSMUSG00000102647	28	28	20	20	18	39
ENSMUSG00000086235	7	12	8	13	10	15
ENSMUSG00000102253	21	14	22	30	26	31
ENSMUSG00000093970	0	0	0	0	0	0
ENSMUSG00000103884	10	11	10	5	13	17
ENSMUSG00000084353	1	2	6	1	5	4
ENSMUSG00000103933	2	3	3	3	2	1
ENSMUSG00000076135	4	1	2	4	0	1
ENSMUSG00000086195	0	0	0	0	0	0
ENSMUSG00000104504	0	0	0	0	2	1
ENSMUSG00000066693	5	4	3	5	6	4
ENSMUSG00000102316	6	8	9	11	8	10
ENSMUSG00000103819	6	2	3	7	4	8
ENSMUSG00000102871	26	33	40	23	28	50
ENSMUSG00000101571	0	0	0	0	0	0
ENSMUSG00000104428	0	0	0	0	0	0
ENSMUSG00000102272	0	0	1	2	3	1
ENSMUSG00000065625	0	0	0	0	0	0
ENSMUSG00000103411	1	1	0	2	0	1
ENSMUSG00000061024	108	122	163	164	128	108
ENSMUSG00000025911	197	231	241	265	201	219
ENSMUSG00000079671	68	111	101	77	76	90
ENSMUSG00000081441	0	1	1	1	0	2
ENSMUSG00000067879	9458	8308	9155	10960	7493	8326
ENSMUSG00000099827	0	0	0	0	0	0
ENSMUSG00000025912	123	161	123	152	135	123
ENSMUSG00000045210	1796	2449	2098	2263	2042	2144
ENSMUSG00000097893	4	1	1	2	3	2
ENSMUSG00000025915	284	329	388	429	370	432
ENSMUSG00000046334	5	8	6	4	5	4
ENSMUSG00000088916	0	1	0	0	3	1
ENSMUSG00000046101	62	63	67	78	74	82
ENSMUSG00000098234	99	104	117	190	119	116
ENSMUSG00000093178	2	2	1	2	4	6
ENSMUSG00000099032	2	10	6	12	5	12
ENSMUSG00000104025	0	0	0	0	0	0
ENSMUSG00000025916	12	15	12	12	7	19
ENSMUSG00000087199	0	0	2	0	1	1
ENSMUSG00000095780	0	0	0	0	0	0
ENSMUSG00000025917	582	618	589	694	589	635
ENSMUSG00000056763	953	1144	1029	1103	1220	1372
ENSMUSG00000102356	3	7	5	7	4	10
ENSMUSG00000067851	1944	2786	2167	2662	2366	2491
ENSMUSG00000088153	2	7	3	5	5	13
ENSMUSG00000102556	18	20	29	23	27	48
ENSMUSG00000042501	6	13	12	6	1	0
ENSMUSG00000103810	0	1	0	1	0	0
ENSMUSG00000083422	3	0	7	6	5	7
ENSMUSG00000094979	0	0	0	0	0	0
ENSMUSG00000081417	1	0	1	1	0	0
ENSMUSG00000103448	0	0	0	0	0	0
ENSMUSG00000100212	0	0	0	0	0	0
ENSMUSG00000100648	1	0	3	2	0	3
ENSMUSG00000088585	0	0	0	0	0	0
ENSMUSG00000048960	2837	3224	3335	3746	3239	3385
ENSMUSG00000077318	1	1	2	0	1	2
ENSMUSG00000101827	1	7	6	0	4	1
ENSMUSG00000103494	0	0	0	0	0	0
ENSMUSG00000057715	2141	2215	2376	2844	2252	2611
ENSMUSG00000103825	20	32	21	15	18	28
ENSMUSG00000099845	4	2	2	4	1	3
ENSMUSG00000103561	11	11	7	17	14	14
ENSMUSG00000101610	2	0	1	1	1	0
ENSMUSG00000093864	0	0	0	0	0	0
ENSMUSG00000098555	0	0	0	0	0	0
ENSMUSG00000097628	7	9	11	8	9	7
ENSMUSG00000098163	0	0	0	0	0	0
ENSMUSG00000097171	0	0	0	0	0	0
ENSMUSG00000101314	0	0	0	0	0	0
ENSMUSG00000016918	245	211	280	242	186	202
ENSMUSG00000025938	37	43	53	38	31	41
ENSMUSG00000104518	0	0	0	0	0	0
ENSMUSG00000069620	0	0	0	0	0	0
ENSMUSG00000099498	0	0	0	0	0	0
ENSMUSG00000042414	0	1	0	0	0	0
ENSMUSG00000005886	3779	3959	3903	4221	3857	3817
ENSMUSG00000103506	32	33	13	15	22	31
ENSMUSG00000103495	16	16	17	9	4	28
ENSMUSG00000099183	2	1	1	1	3	2
ENSMUSG00000102639	3	9	4	1	0	7
ENSMUSG00000104170	24	21	26	14	15	33
ENSMUSG00000087782	1	0	0	0	0	2
ENSMUSG00000103085	32	37	30	29	24	58
ENSMUSG00000102664	18	19	9	16	11	17
ENSMUSG00000101476	3	1	1	1	0	1
ENSMUSG00000101171	0	1	1	1	2	3
ENSMUSG00000025935	665	585	697	830	669	719
ENSMUSG00000025937	243	263	288	316	261	340
ENSMUSG00000102982	6	5	7	3	6	10
ENSMUSG00000067813	2	0	0	0	0	0
ENSMUSG00000077368	0	0	0	0	0	0
ENSMUSG00000097711	3	1	0	0	1	2
ENSMUSG00000102166	0	0	1	0	0	0
ENSMUSG00000089358	0	0	0	0	0	0
ENSMUSG00000104209	1	2	1	1	0	1
ENSMUSG00000025932	279	264	266	312	272	291
ENSMUSG00000095853	2	0	0	1	0	1
ENSMUSG00000102588	0	0	1	0	1	1
ENSMUSG00000054493	21	20	10	30	24	20
ENSMUSG00000025930	26	15	16	30	14	21
ENSMUSG00000103492	15	21	20	31	15	25
ENSMUSG00000081201	0	0	0	1	0	0
ENSMUSG00000082193	3	0	0	0	0	0
ENSMUSG00000032769	1	3	1	0	3	8
ENSMUSG00000088159	0	0	0	0	0	0
ENSMUSG00000073737	0	0	0	0	0	0
ENSMUSG00000092083	1720	2266	2026	1982	2106	2146
ENSMUSG00000102937	25	36	27	16	33	44
ENSMUSG00000104149	24	33	18	16	34	37
ENSMUSG00000088829	0	0	4	1	2	0
ENSMUSG00000077377	0	0	0	0	0	0
ENSMUSG00000101652	0	1	1	1	1	0
ENSMUSG00000100814	0	0	0	0	0	0
ENSMUSG00000025925	112	147	110	119	149	131
ENSMUSG00000104379	17	14	10	11	14	14
ENSMUSG00000032719	4	8	7	3	8	4
