Assay_Type_s	AvgSpotLen_l	BioSample_s	Experiment_s	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	Stage_s	genotype_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	source_name_s	strain_s
RNA-Seq	100	SAMN07177871	SRX2869858	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	5913	3960	SRR5629519	SRS2240200	GSM2644261	e12.5	WT	PRJNA388479	GEO	public	0	2017-05-30	Mus musculus	ILLUMINA	2017-06-22	SRP108291	Bulk forebrain	C57BL/6N
RNA-Seq	100	SAMN07177871	SRX2869858	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	5913	4019	SRR5629520	SRS2240200	GSM2644261	e12.5	WT	PRJNA388479	GEO	public	0	2017-05-30	Mus musculus	ILLUMINA	2017-06-22	SRP108291	Bulk forebrain	C57BL/6N
RNA-Seq	100	SAMN07177871	SRX2869858	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	4880	3256	SRR5629521	SRS2240200	GSM2644261	e12.5	WT	PRJNA388479	GEO	public	0	2017-05-30	Mus musculus	ILLUMINA	2017-06-22	SRP108291	Bulk forebrain	C57BL/6N
RNA-Seq	100	SAMN07177871	SRX2869858	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	4880	3306	SRR5629522	SRS2240200	GSM2644261	e12.5	WT	PRJNA388479	GEO	public	0	2017-05-30	Mus musculus	ILLUMINA	2017-06-22	SRP108291	Bulk forebrain	C57BL/6N
RNA-Seq	100	SAMN07177871	SRX2869858	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	4734	3160	SRR5629523	SRS2240200	GSM2644261	e12.5	WT	PRJNA388479	GEO	public	0	2017-05-30	Mus musculus	ILLUMINA	2017-06-22	SRP108291	Bulk forebrain	C57BL/6N
RNA-Seq	100	SAMN07177871	SRX2869858	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	4734	3198	SRR5629524	SRS2240200	GSM2644261	e12.5	WT	PRJNA388479	GEO	public	0	2017-05-30	Mus musculus	ILLUMINA	2017-06-22	SRP108291	Bulk forebrain	C57BL/6N
RNA-Seq	100	SAMN07177871	SRX2869858	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	4184	2817	SRR5629525	SRS2240200	GSM2644261	e12.5	WT	PRJNA388479	GEO	public	0	2017-05-30	Mus musculus	ILLUMINA	2017-06-22	SRP108291	Bulk forebrain	C57BL/6N
RNA-Seq	100	SAMN07177871	SRX2869858	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	4184	2844	SRR5629526	SRS2240200	GSM2644261	e12.5	WT	PRJNA388479	GEO	public	0	2017-05-30	Mus musculus	ILLUMINA	2017-06-22	SRP108291	Bulk forebrain	C57BL/6N
RNA-Seq	200	SAMN07177882	SRX2869859	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	9103	6002	SRR5629527	SRS2240201	GSM2644262	e12.5	Het	PRJNA388479	GEO	public	0	2017-05-30	Mus musculus	ILLUMINA	2017-06-22	SRP108291	Bulk forebrain	C57BL/6N
RNA-Seq	200	SAMN07177882	SRX2869859	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	10850	6132	SRR5629528	SRS2240201	GSM2644262	e12.5	Het	PRJNA388479	GEO	public	0	2017-05-30	Mus musculus	ILLUMINA	2017-06-22	SRP108291	Bulk forebrain	C57BL/6N
