BioSample_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	age_s	genotype_s	source_name_s	strain_s	tissue_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s
SAMN02909690	10-Jul-14	12493	8647	SRR1511600	SRS657386	GSM1434986	6-weeks old at sacrifice	Pten wt/wt	Wild-type brain	CD-1 (outbred)	Microdissected cortex	RNA-Seq	PRJNA255050	GEO	public	0	PAIRED	Mus musculus	ILLUMINA	12-Mar-15	SRP044242
SAMN02909691	10-Jul-14	12758	8804	SRR1511601	SRS657387	GSM1434987	6-weeks old at sacrifice	Pten wt/wt	Wild-type brain	CD-1 (outbred)	Microdissected cortex	RNA-Seq	PRJNA255050	GEO	public	0	PAIRED	Mus musculus	ILLUMINA	12-Mar-15	SRP044242
SAMN02909692	10-Jul-14	12075	8334	SRR1511602	SRS657388	GSM1434988	6-weeks old at sacrifice	Pten wt/wt	Wild-type brain	CD-1 (outbred)	Microdissected cortex	RNA-Seq	PRJNA255050	GEO	public	0	PAIRED	Mus musculus	ILLUMINA	12-Mar-15	SRP044242
SAMN02909693	10-Jul-14	11839	8184	SRR1511603	SRS657389	GSM1434989	6-weeks old at sacrifice	Pten m3m4/m3m4	Homozygous brain	CD-1 (outbred)	Microdissected cortex	RNA-Seq	PRJNA255050	GEO	public	0	PAIRED	Mus musculus	ILLUMINA	12-Mar-15	SRP044242
SAMN02909694	10-Jul-14	12587	8682	SRR1511604	SRS657390	GSM1434990	6-weeks old at sacrifice	Pten m3m4/m3m4	Homozygous brain	CD-1 (outbred)	Microdissected cortex	RNA-Seq	PRJNA255050	GEO	public	0	PAIRED	Mus musculus	ILLUMINA	12-Mar-15	SRP044242
SAMN02909695	10-Jul-14	12319	8481	SRR1511605	SRS657391	GSM1434991	6-weeks old at sacrifice	Pten m3m4/m3m4	Homozygous brain	CD-1 (outbred)	Microdissected cortex	RNA-Seq	PRJNA255050	GEO	public	0	PAIRED	Mus musculus	ILLUMINA	12-Mar-15	SRP044242
SAMN02980951	11-Aug-14	12699	8730	SRR1542663	SRS677855	GSM1470243	6-weeks old at sacrifice	Pten wt/m3m4	Heterozygous cortex	CD-1 (outbred)	Microdissected cortex	RNA-Seq	PRJNA255050	GEO	public	0	PAIRED	Mus musculus	ILLUMINA	12-Mar-15	SRP044242
SAMN02980952	11-Aug-14	12721	8755	SRR1542664	SRS677857	GSM1470244	6-weeks old at sacrifice	Pten wt/m3m4	Heterozygous cortex	CD-1 (outbred)	Microdissected cortex	RNA-Seq	PRJNA255050	GEO	public	0	PAIRED	Mus musculus	ILLUMINA	12-Mar-15	SRP044242
SAMN02980953	11-Aug-14	11245	7794	SRR1542665	SRS677856	GSM1470245	6-weeks old at sacrifice	Pten wt/m3m4	Heterozygous cortex	CD-1 (outbred)	Microdissected cortex	RNA-Seq	PRJNA255050	GEO	public	0	PAIRED	Mus musculus	ILLUMINA	12-Mar-15	SRP044242
SAMN02980954	11-Aug-14	12674	8114	SRR1542666	SRS677858	GSM1470246	2-weeks old at sacrifice	Pten wt/wt	Wild-type brain	CD-1 (outbred)	Hemibrain	RNA-Seq	PRJNA255050	GEO	public	0	PAIRED	Mus musculus	ILLUMINA	12-Mar-15	SRP044242
SAMN02980955	11-Aug-14	14403	9271	SRR1542667	SRS677859	GSM1470247	2-weeks old at sacrifice	Pten wt/wt	Wild-type brain	CD-1 (outbred)	Hemibrain	RNA-Seq	PRJNA255050	GEO	public	0	PAIRED	Mus musculus	ILLUMINA	12-Mar-15	SRP044242
SAMN02980956	11-Aug-14	13902	8900	SRR1542668	SRS677860	GSM1470248	2-weeks old at sacrifice	Pten wt/wt	Wild-type brain	CD-1 (outbred)	Hemibrain	RNA-Seq	PRJNA255050	GEO	public	0	PAIRED	Mus musculus	ILLUMINA	12-Mar-15	SRP044242
SAMN02980957	11-Aug-14	15386	9783	SRR1542669	SRS677861	GSM1470249	2-weeks old at sacrifice	Pten wt/m3m4	Heterozygous brain	CD-1 (outbred)	Hemibrain	RNA-Seq	PRJNA255050	GEO	public	0	PAIRED	Mus musculus	ILLUMINA	12-Mar-15	SRP044242
SAMN02980958	11-Aug-14	13212	8434	SRR1542670	SRS677862	GSM1470250	2-weeks old at sacrifice	Pten wt/m3m4	Heterozygous brain	CD-1 (outbred)	Hemibrain	RNA-Seq	PRJNA255050	GEO	public	0	PAIRED	Mus musculus	ILLUMINA	12-Mar-15	SRP044242
SAMN02980959	11-Aug-14	11302	7191	SRR1542671	SRS677863	GSM1470251	2-weeks old at sacrifice	Pten wt/m3m4	Heterozygous brain	CD-1 (outbred)	Hemibrain	RNA-Seq	PRJNA255050	GEO	public	0	PAIRED	Mus musculus	ILLUMINA	12-Mar-15	SRP044242
SAMN02980960	11-Aug-14	13766	8908	SRR1542672	SRS677864	GSM1470252	2-weeks old at sacrifice	Pten m3m4/m3m4	Homozygous brain	CD-1 (outbred)	Hemibrain	RNA-Seq	PRJNA255050	GEO	public	0	PAIRED	Mus musculus	ILLUMINA	12-Mar-15	SRP044242
SAMN02980961	11-Aug-14	13466	8724	SRR1542673	SRS677865	GSM1470253	2-weeks old at sacrifice	Pten m3m4/m3m4	Homozygous brain	CD-1 (outbred)	Hemibrain	RNA-Seq	PRJNA255050	GEO	public	0	PAIRED	Mus musculus	ILLUMINA	12-Mar-15	SRP044242
SAMN02980962	11-Aug-14	12068	7795	SRR1542674	SRS677866	GSM1470254	2-weeks old at sacrifice	Pten m3m4/m3m4	Homozygous brain	CD-1 (outbred)	Hemibrain	RNA-Seq	PRJNA255050	GEO	public	0	PAIRED	Mus musculus	ILLUMINA	12-Mar-15	SRP044242
