"","TCF4","PTEN","MECP2","baseMean","Chr","Start","End","Strand","Length","Symbol","EntrezID","zscore","pvalue","padj"
"ENSMUSG00000045294",-3.63733581162968,8.67485829479155,4.21084952950097,2283.37466007315,"chr5",28071363,28078662,"+",3093,"Insig1",231070,3.17986123034387,2.51855183269756e-05,0.15704539175691
"ENSMUSG00000031392",2.80375255329011,-1.43682712491068,11.9152896712372,1057.3559172152,"chrX",74013914,74023918,"-",4716,"Irak1",16179,3.10919850596349,3.59793118956953e-05,0.15704539175691
"ENSMUSG00000047797",-5.3589130032873,7.59230967982628,2.92157080051079,423.745788740537,"chrX",101376378,101385629,"+",1707,"Gjb1",14618,3.05472053018729,4.58736226669476e-05,0.15704539175691
"ENSMUSG00000032854",-6.3372344259098,3.93599766197178,5.4547877150779,2159.63858799347,"chr3",125865271,125938619,"-",4536,"Ugt8a",22239,3.02685882235281,4.85720710591275e-05,0.15704539175691
"ENSMUSG00000070348",-4.90891876581724,6.80659266832182,-3.79090915856681,909.806922442386,"chr7",144929931,144939925,"-",4709,"Ccnd1",12443,2.98421203445543,5.80166404317017e-05,0.15704539175691
"ENSMUSG00000070047",2.38202568623896,5.77376616781932,7.30468812252467,2432.06945597972,"chr8",44935447,45052257,"+",15586,"Fat1",14107,2.97537075876033,6.07150888238817e-05,0.15704539175691
"ENSMUSG00000031503",1.55836274585224,9.46936903208474,4.27891942297933,1342.29216083688,"chr8",11312805,11449287,"+",6619,"Col4a2",12827,2.94576639708025,7.0609399595245e-05,0.15704539175691
"ENSMUSG00000020866",3.34981687807126,0.649742306179392,-11.0874095750866,1740.6224421185,"chr11",94408391,94474198,"-",10137,"Cacna1g",12291,2.90348849148628,8.59006071508572e-05,0.163964058166619
"ENSMUSG00000031425",-4.9863903963574,3.84072956261485,6.14338430111456,47623.5502444373,"chrX",136822671,136839733,"+",5551,"Plp1",18823,2.88107488815519,9.57949179222206e-05,0.163964058166619
"ENSMUSG00000073680",-4.92174145796832,5.67483599625717,4.12034884782563,1839.11016946569,"chr4",155781591,155785874,"-",3471,"Tmem88b",320587,2.8322737873777,0.000120980436249196,0.163964058166619
"ENSMUSG00000006782",-5.60749638812229,3.82947112028275,5.2602887223935,8273.19379776208,"chr11",100574904,100591729,"+",3639,"Cnp",12799,2.82848828040015,0.000124578367438732,0.163964058166619
"ENSMUSG00000034714",-5.27893537700369,5.21432676854553,4.17643002755978,1194.6838720605,"chr11",114675431,114720977,"+",3739,"Ttyh2",117160,2.82318357502448,0.000126377333033556,0.163964058166619
"ENSMUSG00000036887",-0.497135298481644,12.65320431601,-1.34834084597749,925.67659945251,"chr4",136895917,136898803,"-",1040,"C1qa",12259,2.79027235558206,0.000151562851360421,0.174050306787862
"ENSMUSG00000049281",1.21767043141658,-4.41908770305482,-8.81208617810111,4981.23845315198,"chr9",40269216,40291618,"+",5546,"Scn3b",235281,2.78068138444758,0.000156510006746102,0.174050306787862
"ENSMUSG00000051504",-6.7405025914639,6.08561049283745,1.50913871892883,264.423069501272,"chr7",55768178,55778925,"+",3383,"Siglech",233274,2.75882049583201,0.000174499662694005,0.17764393806897
"ENSMUSG00000050063",-4.43621266620378,8.33676901797442,-1.39757319272535,146.846170316295,"chr7",43824499,43832030,"+",1513,"Klk6",19144,2.72712455758221,0.000189341128850939,0.17764393806897
"ENSMUSG00000023019",0.382877698111947,9.24413120442647,-4.28367815502673,1864.24699050006,"chr15",99717515,99725005,"+",2961,"Gpd1",14555,2.67711297243263,0.000235664492916565,0.17764393806897
"ENSMUSG00000024621",0.515009092948828,12.2634277319968,1.09806828520582,1985.37227531781,"chr18",61105572,61132149,"+",4885,"Csf1r",12978,2.67053465358573,0.000241960872498281,0.17764393806897
"ENSMUSG00000032841",-7.60448201215366,5.81429353972896,0.456123733296217,284.092232860944,"chr2",101714285,101883027,"-",4967,"Prr5l",72446,2.67022561242565,0.000242860355295749,0.17764393806897
"ENSMUSG00000025025",3.43097650731296,-7.73298051985553,2.63545746572615,1840.27806407922,"chr19",53310506,53375810,"+",5619,"Mxi1",17859,2.65569855737731,0.000251855183269645,0.17764393806897
"ENSMUSG00000027111",-1.86601170164233,9.16086150696439,2.73595697602082,781.983712819696,"chr2",71745616,71858416,"+",9025,"Itga6",16403,2.6486579039686,0.000260400269844863,0.17764393806897
"ENSMUSG00000081225",-7.30551140394856,5.87721848479009,0.525450556451822,60.3802257927274,"chr4",96099318,96141152,"-",1944,"Cyp2j12",242546,2.63814055671023,0.000270294580616115,0.17764393806897
"ENSMUSG00000030337",-2.31674447866301,4.44813424814526,6.93227299644633,4002.00971317664,"chr6",125215551,125245964,"+",10167,"Vamp1",22317,2.63601807818407,0.000273442770406973,0.17764393806897
"ENSMUSG00000021665",-2.27757241340733,10.16396277048,1.25267492502743,1574.24698591235,"chr13",97176332,97198357,"-",1904,"Hexb",15212,2.63545196424042,0.000275241736001797,0.17764393806897
"ENSMUSG00000060678",-1.7028909758663,1.45210817653104,-10.4538441904788,503.033760980145,"chr13",23698060,23698454,"-",395,"Hist1h4c",319155,2.61902312245633,0.000290982684956198,0.17764393806897
"ENSMUSG00000029231",4.92798562536305,6.10535782235526,-2.5049714840496,2068.3509959118,"chr5",75152292,75198215,"+",10024,"Pdgfra",18595,2.60544992341004,0.000304924668315665,0.17764393806897
