Model Species,Model Gene symbol, Model Gene Name, Human Gene Symbol, Entrez Gene ID, MGI ID, ABA ID, Model ID, Primary Reference, Additional Reference, Model Summary
Mus musculus,Adnp,Activity-dependent  neuroprotective protein,ADNP,11538,,,"ADNP_1_KO_HT,ADNP_1_KO_HT_NAP-1,ADNP_1_KO_HT_NAP-2,ADNP_1_KO_HT_NAP-3,ADNP_2_KO_HT,ADNP_1_KO_HT_SKIP-1,ADNP_1_KO_HT_SKIP-2",17720885,"177,208,852,564,659,000,000,000","The ADNP homozygous knock out causes embryonic lethality. The heterozygous mice have normal, slightly delayed development and show reduced neuronal survival and some changes in gene expression (e.g., some transcription factors like Pax6)"
Mus musculus,Adora2a,Adenosine A2a receptor,ADORA2A,11540,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=15199,http://mouse.brain-map.org/brain/Adora2a.html?ispopup=1,"ADORA2A_1_KO_HM,ADORA2A_2_CN_KO_HM",10531422,15602504,A2A receptors play a prominent role in the development of ischemic injury within brain and demonstrate the potential for anatomical and functional neuroprotection against stroke by A2A receptor antagonists.
Mus musculus,Ahi1,Abelson helper integration site 1,AHI1,52906,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=223,http://mouse.brain-map.org/brain/Ahi1.html?ispopup=1,"Ahi1_1_KO_HM,Ahi1_2_CN_KO_HM,Ahi1_3_KO_HT",19625297,20956301,"Distribution and functioning of Rab8a is regulated by Ahi1, not only affecting cilium formation, but also vesicle transport."
Mus musculus,Aldh5a1,"Aldehyde Dehydrogenase family 5, subfamily A1",ALDH5A1,214579,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=83311,http://mouse.brain-map.org/brain/Aldh5a1.html?ispopup=1,"ALDH5A1_1_KO_HM,ALDH5A1_1_KO_HM_CGP,ALDH5A1_1_KO_HM_VGB,ALDH5A1_2_KO_HT",11544478,,"Mice display ataxia, develop generalized seizures leading to rapid death,increased amounts of GHB and total GABA in urine, brain and liver homogenates and detected significant gliosis in the hippocampus of KO mice. These findings provide insight into pathomechanisms and may have therapeutic relevance for the human SSADH deficiency disease and GHB overdose and toxicity."
Mus musculus,Ank2,"ankyrin 2, brain",ANK2,109676,http://www.informatics.jax.org/marker/MGI:88025,,"Ank2_1_KO_HM,Ank2_2_KO_HT",9832558,,"Ank2 null mice exhibit hypoplasia of the corpus callosum, pyramidal tracts and degeneration of the optic nerve."
Mus musculus,Ankrd11,ankyrin repeat domain 11,ANKRD11,77087,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=61067,http://mouse.brain-map.org/brain/Ankrd11.html?ispopup=1,"ANKRD11_1_YODA_HM,ANKRD11_2_YODA_HT,ANKRD11_3_KD",17986521,25556659,Identification of a novel genetic regulator of bone homeostasis.
Mus musculus,Apba2,"amyloid beta (A4) precursor protein-binding, family A, member 2",APBA2,11784,http://www.informatics.jax.org/javawi2/servlet/WIFetch?page=markerDetail&key=36252,http://mouse.brain-map.org/brain/Apba2.html?ispopup=1,"APBA2_1_KO_HM,APBA2_2_KO_HM_DTg",19420255,,Apba2 is involved in the development of neuronal circuits that contribute to conflict resolution.
Mus musculus,Apc,adenomatosis polyposis coli,APC,11789,http://www.informatics.jax.org/marker/MGI:88039,,"APC_1_cKO_HM,APC_2_cKO_HM_Thy1-YFP",24934177,,"The conditional knock out of the Apc gene from the forebrain excitatory neurons causes several beavioral and learning abnormalities, like deficits in spatial learning and memory; increased repetitive behavior and decreased sociability."
Mus musculus,App,amyloid beta (A4) precursor protein,APP,11820,http://www.informatics.jax.org/marker/MGI:88059,http://www.brain-map.org/search/index.html?query=%40entrez_id%2011820,APP_1_Tg_HM,23840007,,"Corresponding to increase in levels of secreted APP, seen in children with autism,  phenotypes present in a mouse model expressing a transgene for secreted APP alpha were characterized"
Mus Musculus,Arhgap32,Rho GTPase activating protein 32,ARHGAP32,330914,http://www.informatics.jax.org/marker/MGI:2450166,,"ARHGAP32_1_KO_HM,ARHGAP32_1_KO_HM_Clonazepam,ARHGAP32_2_KO_HT",26979507,,"Arhgap32 null mice have impaired social behavior displaying reduced social memory and inclination towards reciprocal social interaction, along with reduced social dominance. They show increased repetitive behavior with increase in self-grooming and repetitive digging. Arhgap32 null pups also make fewer ultrasonic calls upon isolation from the mother. Additionally, motor coordination and flexibility in learning new goals are also reduced in the null mice. In neuronal cultures Arhgap32 null neurons have reduced expression of GABAa receptors on the surface."
